,Year of Release,Game Title,Game Price,Score,Votes,Genre
368,2015,Aviary Attorney,14.99,8.08,1963,Visual Novel
369,2015,Hero of the Kingdom II,7.99,8.07,2262,Adventure
370,2015,Kitty Powers' Matchmaker,9.99,8.07,1239,Simulation
371,2015,Prison Architect,29.99,8.07,65467,Simulation
372,2015,Paint it Back,7.99,8.06,484,Puzzle
373,2015,Tormentum - Dark Sorrow,11.99,8.06,2461,Point & Click
374,2015,Chroma Squad,14.99,8.05,4037,RPG
375,2015,12 Labours of Hercules,2.99,8.04,2934,Casual
376,2015,Viridi,0.0,8.04,8486,Relaxing
377,2015,Technobabylon,14.99,8.04,1383,Adventure
378,2015,Clicker Heroes,0.0,8.03,58785,Clicker
379,2015,Assault Android Cactus+,19.99,8.03,1826,Bullet Hell
380,2015,Lovers in a Dangerous Spacetime,14.99,8.03,3473,Local Co-Op
381,2015,Shantae and the Pirate's Curse,19.99,8.01,2471,Platformer
382,2015,Kingdom: Classic,0.0,8.01,20095,Singleplayer
383,2015,Endless Sky,0.0,8.01,5833,Space
384,2015,Streets of Fury EX,9.99,8.01,626,Beat 'em up
385,2015,A Good Snowman Is Hard To Build,14.99,8.0,820,Cute
386,2015,Rampage Knights,3.89,8.0,3401,Co-op
387,2015,Barony,14.99,8.0,4685,Action Roguelike
388,2015,Divinity: Original Sin - Enhanced Edition,39.99,7.99,23620,RPG
389,2015,Robot Roller-Derby Disco Dodgeball,9.99,7.99,3856,Arena Shooter
390,2015,Quell,3.99,7.99,370,Puzzle
391,2015,Dropsy,0.99,7.98,1781,Point & Click
392,2015,"Invisible, Inc.",19.99,7.98,5253,Stealth
393,2015,LEGO® Jurassic World,19.99,7.97,7065,LEGO
394,2015,Axiom Verge,19.99,7.97,5164,Metroidvania
395,2015,The Escapists,17.99,7.96,15475,Pixel Graphics
396,2015,Grow Home,1.99,7.96,5108,Open World
397,2015,Hyperdimension Neptunia Re;Birth2: Sisters Generation,14.99,7.96,3119,Anime
398,2015,Lakeview Cabin Collection,9.99,7.96,1712,Survival Horror
399,2015,Endless ATC,6.99,7.96,324,Immersive Sim
400,2015,Jigoku Kisetsukan: Sense of the Seasons,0.0,7.96,1745,Bullet Hell
401,2015,Devil May Cry 4 Special Edition,7.49,7.95,13258,Action
402,2015,Amnesia™: Memories,9.99,7.94,3182,Otome
403,2015,Kero Blaster,9.99,7.94,1222,Side Scroller
404,2015,Dino Run DX,5.99,7.94,1275,Dinosaurs
405,2015,A Kiss For The Petals - Remembering How We Met,7.99,7.93,1529,Female Protagonist
406,2015,Renowned Explorers: International Society,19.99,7.93,2730,Strategy
407,2015,Duet,4.99,7.92,756,Action
408,2015,Nyan Cat: Lost In Space,2.49,7.92,1715,Memes
409,2015,Blockwick 2,9.99,7.92,169,Casual
410,2015,Gravity Ghost,14.99,7.92,292,Great Soundtrack
411,2015,Tom Clancy's Rainbow Six® Siege,7.99,7.92,1133365,FPS
412,2015,Grim Fandango Remastered,14.99,7.91,6957,Adventure
413,2015,Sky Force Anniversary,9.99,7.91,1910,Shoot 'Em Up
414,2015,"Guns, Gore & Cannoli",9.99,7.91,3081,Action
415,2015,Wolfenstein: The Old Blood,19.99,7.9,16753,FPS
416,2015,Spooky Bonus,9.99,7.9,281,Casual
417,2015,Secrets of Grindea,14.99,7.9,5951,Action RPG
418,2015,DRAGON BALL XENOVERSE,39.99,7.9,17550,Anime
419,2015,Regency Solitaire,9.99,7.9,699,Solitaire
420,2015,AdVenture Capitalist,0.0,7.89,54506,Clicker
421,2015,Emily is Away,0.0,7.89,30912,Story Rich
422,2015,Templar Battleforce,9.99,7.89,882,Turn-Based Tactics
423,2015,Hand of Fate,19.99,7.89,10294,Roguelike Deckbuilder
424,2015,Fausts Alptraum,0.0,7.89,996,Horror
425,2015,Snakebird,6.99,7.89,1018,Puzzle
426,2015,The Fruit of Grisaia,19.99,7.89,976,Visual Novel
427,2015,HyperRogue,9.99,7.88,398,Traditional Roguelike
428,2015,Grand Theft Auto V,0.0,7.88,1550256,Open World
429,2015,Zoombinis,9.99,7.88,967,Casual
430,2015,Monstrum,17.99,7.88,2933,Horror
431,2015,Voidspire Tactics,14.99,7.88,232,RPG
432,2015,The Magic Circle,19.99,7.88,1363,Adventure
433,2015,Flywrench,6.99,7.87,291,Action
434,2015,Koi-Koi Japan [Hanafuda playing cards],9.99,7.87,1087,Casual
435,2015,Her Story,9.99,7.87,8404,Detective
436,2015,Farm Frenzy Collection,19.99,7.87,301,Casual
437,2015,Turbo Pug,1.99,7.87,3381,Pixel Graphics
438,2015,Snail Bob 2: Tiny Troubles,4.99,7.86,176,Casual
439,2015,Pink Hour,0.0,7.86,971,Pixel Graphics
440,2015,Party Hard,9.99,7.86,9298,Pixel Graphics
441,2015,SanctuaryRPG: Black Edition,7.99,7.86,1532,RPG
442,2015,Westerado: Double Barreled,14.99,7.85,1781,Western
443,2015,Dreaming Sarah,5.99,7.85,2584,Metroidvania
444,2015,Carpe Diem,0.0,7.85,8323,Anime
445,2015,Tokyo School Life,14.99,7.85,668,Anime
446,2015,Five Nights at Freddy's 3,7.99,7.84,7938,Horror
447,2015,GUILTY GEAR Xrd -SIGN-,29.99,7.84,2372,Fighting
448,2015,Divide By Sheep,4.99,7.84,2535,Puzzle
449,2015,Pillars of Eternity,7.49,7.83,22000,RPG
450,2016,Stardew Valley,14.99,8.82,562880,Farming Sim
451,2016,Don't Starve Together,1.49,8.63,390443,Survival
452,2016,OneShot,3.99,8.63,35386,Story Rich
453,2016,American Truck Simulator,19.99,8.6,126392,Automobile Sim
454,2016,VA-11 Hall-A: Cyberpunk Bartender Action,14.99,8.57,31563,Cyberpunk
455,2016,Iron Snout,0.0,8.53,17023,2D Fighter
456,2016,INSIDE,19.99,8.53,47162,2.5D
457,2016,The Room Two,4.99,8.52,16205,Puzzle
458,2016,DOOM,19.99,8.52,177836,FPS
459,2016,Enter the Gungeon,5.99,8.51,72647,Bullet Hell
460,2016,STEINS;GATE,11.99,8.49,14549,Visual Novel
461,2016,Human: Fall Flat,19.99,8.48,183052,Co-op
462,2016,"Hot Dogs, Horseshoes & Hand Grenades",19.99,8.48,17940,Sandbox
463,2016,Titanfall® 2,29.99,8.47,161626,FPS
464,2016,Ori and the Blind Forest: Definitive Edition,4.99,8.47,57799,Atmospheric
465,2016,DARK SOULS™ III,59.99,8.47,349176,Souls-like
466,2016,Shadow Tactics: Blades of the Shogun,39.99,8.47,33649,Stealth
467,2016,Sally Face - Episode One,2.99,8.46,14980,Story Rich
468,2016,Ultimate Chicken Horse,14.99,8.45,33416,Funny
469,2016,Danganronpa 2: Goodbye Despair,7.99,8.45,22176,Anime
470,2016,Danganronpa: Trigger Happy Havoc,7.99,8.45,25503,Anime
471,2016,NEKOPARA Vol. 2,9.99,8.45,12327,Anime
472,2016,Rabi-Ribi,17.99,8.41,10666,Anime
473,2016,Rise of the Tomb Raider™,3.99,8.39,117353,Adventure
474,2016,Blood and Bacon,0.99,8.38,30546,Gore
475,2016,Glass Masquerade,4.99,8.37,5850,Puzzle
476,2016,Plague Inc: Evolved,14.99,8.37,47316,Strategy
477,2016,Kingdom Rush Frontiers - Tower Defense,9.99,8.36,6982,Tower Defense
478,2016,The Jackbox Party Pack 3,24.99,8.35,5258,Trivia
479,2016,My Summer Car,14.99,8.35,52633,Automobile Sim
480,2016,Grim Dawn,24.99,8.34,83474,Action RPG
481,2016,Bit Blaster XL,0.99,8.34,6105,Arcade
482,2016,klocki,1.99,8.33,4539,Relaxing
483,2016,TY the Tasmanian Tiger,14.99,8.33,2384,3D Platformer
484,2016,Pony Island,4.99,8.33,13828,Puzzle
485,2016,Mad Father,9.99,8.32,4008,Horror
486,2016,Rusty Lake: Roots,2.99,8.32,5792,Puzzle
487,2016,Montaro,0.99,8.32,12148,Memes
488,2016,Starbound,14.99,8.31,160483,Open World Survival Craft
489,2016,Day of the Tentacle Remastered,14.99,8.31,3876,Point & Click
490,2016,SpeedRunners,14.99,8.3,34625,Racing
491,2016,Scrap Mechanic,19.99,8.3,97388,Building
492,2016,Rusty Lake Hotel,1.99,8.3,6840,Puzzle
493,2016,Devil Daggers,9.99,8.28,8037,FPS
494,2016,Zup! 2,1.99,8.27,6394,Puzzle
495,2016,Hearts of Iron IV,39.99,8.27,228148,Strategy
496,2016,DEADBOLT,9.99,8.26,4675,Pixel Graphics
497,2016,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,9.99,8.26,8615,Action
498,2016,The Elder Scrolls V: Skyrim Special Edition,39.99,8.26,250688,Open World
499,2016,Brick Rigs,18.99,8.25,32269,Sandbox
500,2016,Lucy -The Eternity She Wished For-,9.99,8.25,7561,Visual Novel
501,2016,LiEat,2.99,8.25,4123,Anime
502,2016,Shakes and Fidget,0.0,8.25,30372,RPG
503,2016,Crazy Machines 3,9.99,8.25,9290,Simulation
504,2016,Farming Simulator 17,14.99,8.23,22334,Farming Sim
505,2016,The Lab,0.0,8.22,5695,Action
506,2016,Transmissions: Element 120,0.0,8.22,9387,Action
507,2016,ASTRONEER,29.99,8.22,105923,Open World
508,2016,Epistory - Typing Chronicles,14.99,8.22,6093,Typing
509,2016,FINAL FANTASY IX,10.49,8.21,9258,JRPG
510,2016,Hyper Light Drifter,19.99,8.21,16173,Pixel Graphics
511,2016,MANDAGON,0.0,8.21,5495,Pixel Graphics
512,2016,Darkest Dungeon®,24.99,8.2,124243,Turn-Based Combat
513,2016,Trick & Treat,0.0,8.2,2185,Pixel Graphics
514,2016,Zup!,1.99,8.2,8356,Puzzle
515,2016,ABZU,19.99,8.2,23217,Relaxing
516,2016,Momodora: Reverie Under The Moonlight,9.99,8.2,10032,Metroidvania
517,2016,The Thrill of the Fight - VR Boxing,9.99,8.19,3441,Sports
518,2016,GUILTY GEAR Xrd REV 2,29.99,8.19,8924,Fighting
519,2016,The House in Fata Morgana,24.99,8.19,3331,Visual Novel
520,2016,Wuppo: Definitive Edition,14.99,8.18,5032,Metroidvania
521,2016,SHENZHEN I/O,14.99,8.18,3610,Programming
522,2016,Kindred Spirits on the Roof,34.99,8.17,1170,Visual Novel
523,2016,Learn to Fly 3,0.0,8.17,7667,Casual
524,2016,Clustertruck,14.99,8.17,13620,Parkour
525,2016,Google Earth VR,0.0,8.17,3500,Simulation
526,2016,Hello Charlotte EP2: Requiem Aeternam Deo,0.0,8.17,1166,RPG
527,2016,Brigador: Up-Armored Edition,8.99,8.17,4825,Cyberpunk
528,2016,PRICE,0.0,8.16,4933,Puzzle
529,2016,Tayutama 2-you're the only one-,10.49,8.15,2314,Anime
530,2016,Samorost 3,19.99,8.15,4036,Point & Click
531,2016,Eleven Table Tennis,29.99,8.15,3022,Sports
532,2016,SENRAN KAGURA SHINOVI VERSUS,9.99,8.15,3708,Anime
533,2016,Higurashi When They Cry Hou - Ch.3 Tatarigoroshi,7.99,8.15,665,Visual Novel
534,2016,Zenge,0.99,8.15,2946,Puzzle
535,2016,SteamWorld Heist,14.99,8.14,4888,Strategy
536,2016,Rec Room,0.0,8.14,50816,Online Co-Op
537,2016,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,5.99,8.14,76314,Anime
538,2016,Turmoil,9.99,8.13,11373,Mining
539,2016,Planet Coaster,44.99,8.13,59212,Simulation
540,2016,Angels of Death,5.99,8.13,4112,Puzzle
541,2016,Megadimension Neptunia VII,19.99,8.13,3106,Anime
542,2016,SEUM: Speedrunners from Hell,14.99,8.13,2845,3D Platformer
543,2016,Zeus + Poseidon,9.99,8.11,1379,City Builder
544,2016,Highway Blossoms,12.99,8.11,2462,Story Rich
545,2016,Out There Somewhere,0.99,8.1,6894,Platformer
546,2016,Beholder,9.99,8.1,23507,Dystopian 
547,2016,Death Road to Canada,14.99,8.1,7369,Pixel Graphics
548,2016,Oxenfree,9.99,8.1,10598,Story Rich
549,2016,Umineko When They Cry - Question Arcs,24.99,8.09,1587,Great Soundtrack
550,2016,Khimera: Destroy All Monster Girls,0.0,8.09,1323,Platformer
551,2016,Ara Fell: Enhanced Edition,7.49,8.08,1755,RPG
552,2016,Titan Quest Anniversary Edition,19.99,8.08,30550,RPG
553,2016,Brief Karate Foolish,0.0,8.08,2633,Psychological Horror
554,2016,Flowers -Le volume sur printemps-,19.99,8.08,1507,Female Protagonist
555,2016,Creeper World: Anniversary Edition,4.99,8.07,676,Strategy
556,2016,Stephen's Sausage Roll,29.99,8.07,1348,Puzzle
557,2016,ACE Academy,19.99,8.07,1456,Choose Your Own Adventure
558,2016,Narcissu 10th Anniversary Anthology Project,2.99,8.06,527,Visual Novel
559,2016,N++ (NPLUSPLUS),14.99,8.06,2799,Precision Platformer
560,2016,BLUE REVOLVER,14.99,8.06,401,Shoot 'Em Up
561,2016,Melody's Escape,9.99,8.06,4825,Music-Based Procedural Generation
562,2016,Poly Bridge,9.99,8.06,15754,Building
563,2016,The Count Lucanor,1.99,8.06,2154,Horror
564,2016,Recursed,7.99,8.05,433,Puzzle
565,2016,SUPERHOT,24.99,8.05,34025,Action
566,2016,Motorsport Manager,19.99,8.05,12356,Management
567,2016,Tattletail,4.99,8.05,3240,Horror
568,2016,Higurashi When They Cry Hou - Ch.4 Himatsubushi,5.99,8.04,471,Visual Novel
569,2016,Bloons TD Battles,0.0,8.04,27307,Tower Defense
570,2016,Hue,14.99,8.04,1973,Adventure
571,2016,ICEY,10.99,8.03,23879,Action
572,2016,Melty Blood Actress Again Current Code,24.99,8.03,3803,Anime
573,2016,Orwell: Keeping an Eye On You,9.99,8.01,14058,Choices Matter
574,2016,Season of 12 Colors,2.99,8.01,1973,Casual
575,2016,Lazerbait,0.0,8.01,488,Strategy
576,2016,Muv-Luv (マブラヴ),11.99,8.01,1022,Visual Novel
577,2016,DoDonPachi Resurrection,10.49,8.01,810,Bullet Hell
578,2016,Zombie Night Terror,2.59,8.0,3090,Zombies
579,2016,POSTAL Redux,8.99,8.0,4245,Online Co-Op
580,2016,Rocksmith® 2014 Edition - Remastered,29.99,8.0,21211,Music
581,2016,FINAL FANTASY X/X-2 HD Remaster,14.99,8.0,15810,JRPG
582,2016,Dragon's Dogma: Dark Arisen,4.79,8.0,32847,RPG
583,2016,Accounting (Legacy),0.0,8.0,2464,Adventure
584,2016,Crush Crush,0.0,8.0,23224,Dating Sim
585,2016,Five Nights at Freddy's: Sister Location,7.99,7.99,9767,Horror
586,2016,Picross Touch,0.0,7.99,1378,Puzzle
587,2016,Overcooked,16.99,7.99,13260,Local Co-Op
588,2016,Slayaway Camp,8.99,7.99,766,Puzzle
589,2016,Valley,14.99,7.99,6362,Adventure
590,2016,Stellaris,39.99,7.98,146892,Space
591,2016,Kathy Rain,9.99,7.98,3568,Point & Click
592,2016,DRAGON BALL XENOVERSE 2,49.99,7.98,40821,Anime
593,2016,Furi,19.99,7.98,10614,Action
594,2016,Supipara - Chapter 1 Spring Has Come!,14.99,7.98,229,Adventure
595,2016,Move or Die,14.99,7.98,21864,Funny
596,2016,Lara Croft GO,1.99,7.97,3213,Puzzle
597,2016,Tricky Towers,14.99,7.97,13303,Party Game
598,2016,Lost Lands: Mahjong,0.0,7.97,4947,Casual
599,2016,Wild Animal Racing,3.99,7.97,2563,Dating Sim
600,2017,Hollow Knight,14.99,8.7,286905,Metroidvania
601,2017,Slime Rancher,19.99,8.69,106237,Cute
602,2017,A Hat in Time,29.99,8.63,46611,Cute
603,2017,Doki Doki Literature Club!,0.0,8.62,186919,Psychological Horror
604,2017,Cuphead,19.99,8.6,135441,Difficult
605,2017,Ravenfield,17.99,8.58,58579,FPS
606,2017,Divinity: Original Sin 2 - Definitive Edition,44.99,8.57,161707,Tactical RPG
607,2017,Finding Paradise,9.99,8.52,15059,Story Rich
608,2017,VTOL VR,29.99,8.51,11651,Flight
609,2017,Gorogoa,14.99,8.49,13994,Puzzle
610,2017,CarX Drift Racing Online,14.99,8.46,61183,Racing
611,2017,West of Loathing,10.99,8.45,8375,RPG
612,2017,NEKOPARA Vol. 3,9.99,8.44,11609,Anime
613,2017,Touhou Tenkuushou ~ Hidden Star in Four Seasons.,14.99,8.44,4452,Bullet Hell
614,2017,Resident Evil 7 Biohazard,7.99,8.44,71354,Horror
615,2017,Little Nightmares,19.99,8.43,88531,Horror
616,2017,What Remains of Edith Finch,19.99,8.42,32374,Story Rich
617,2017,Rivals of Aether,29.99,8.4,28020,Fighting
618,2017,Superflight,2.99,8.38,10368,Flight
619,2017,Opus Magnum,19.99,8.38,5159,Puzzle
620,2017,Hidden Folks,14.99,8.38,8541,Hidden Object
621,2017,planetarian HD,9.99,8.37,2116,Visual Novel
622,2017,Stick Fight: The Game,4.99,8.37,107979,Funny
623,2017,DEEP SPACE WAIFU,4.99,8.34,8589,Anime
624,2017,Alien Swarm: Reactive Drop,0.0,8.33,19136,Top-Down
625,2017,Rusted Warfare - RTS,4.99,8.33,3594,RTS
626,2017,Pavlov VR,24.99,8.32,35840,Shooter
627,2017,Rakuen,14.99,8.32,5407,Story Rich
628,2017,Total War: WARHAMMER II,59.99,8.31,119577,Strategy
629,2017,Kindergarten,4.99,8.3,6229,Funny
630,2017,Raging Loop,19.49,8.3,3865,Adventure
631,2017,Cinderella Phenomenon - Otome/Visual Novel,0.0,8.3,3764,Otome
632,2017,Darkwood,14.99,8.29,15351,Horror
633,2017,Unturned,0.0,8.29,510628,Survival
634,2017,Dungeons 3,29.99,8.29,17250,Strategy
635,2017,Orbt XL,0.99,8.28,3237,Casual
636,2017,Monolith,7.99,8.28,1650,Roguelite
637,2017,Freddy Fazbear's Pizzeria Simulator,0.0,8.27,23125,Horror
638,2017,SteamWorld Dig 2,19.99,8.27,5720,Adventure
639,2017,Cat Quest,12.99,8.25,6995,Adventure
640,2017,Life is Strange: Before the Storm,16.99,8.25,35957,Story Rich
641,2017,Empires of the Undergrowth,19.99,8.25,8238,Strategy
642,2017,SCP: Secret Laboratory,0.0,8.23,158692,Horror
643,2017,Majotori,2.39,8.23,1521,Trivia
644,2017,Sonic Mania,9.99,8.23,22365,Great Soundtrack
645,2017,Night in the Woods,19.99,8.22,15209,Story Rich
646,2017,Battle Chef Brigade Deluxe,19.99,8.21,2185,Action
647,2017,Heat Signature,14.99,8.21,6554,Space
648,2017,Angels with Scaly Wings™ / 鱗羽の天使,9.99,8.21,1547,Dragons
649,2017,Crawl,14.99,8.21,6410,Pixel Graphics
650,2017,The Legend of Heroes: Trails of Cold Steel,19.99,8.2,4742,JRPG
651,2017,Kingdoms and Castles,14.99,8.2,24212,City Builder
652,2017,OLDTV,0.0,8.2,5322,Great Soundtrack
653,2017,Little Busters! English Edition,34.99,8.19,696,Visual Novel
654,2017,Cattails | Become a Cat!,14.99,8.19,2273,Cats
655,2017,SENRAN KAGURA ESTIVAL VERSUS,11.99,8.18,4936,Nudity
656,2017,BlazBlue Centralfiction,39.99,8.17,8833,Fighting
657,2017,Planescape: Torment: Enhanced Edition,19.99,8.17,3755,RPG
658,2017,Soda Dungeon,0.0,8.17,5747,RPG
659,2017,Sudoku Universe / 数独宇宙,1.99,8.17,2267,Casual
660,2017,Meltys Quest,19.99,8.17,1963,Dating Sim
661,2017,The Darkside Detective,14.99,8.16,3646,Point & Click
662,2017,The Long Dark,34.99,8.16,97056,Survival
663,2017,Draw Puzzle 画之谜,4.99,8.16,811,Casual
664,2017,The Evil Within 2,39.99,8.16,24642,Horror
665,2017,Misao: Definitive Edition,4.99,8.16,1605,Horror
666,2017,Bayonetta,6.99,8.16,23961,Action
667,2017,Spooky's Jump Scare Mansion: HD Renovation,9.99,8.15,2080,Horror
668,2017,Linelight,9.99,8.15,899,Casual
669,2017,Muv-Luv Alternative (マブラヴ オルタネイティヴ),19.99,8.14,2127,Visual Novel
670,2017,The Jackbox Party Pack 4,24.99,8.14,2735,Casual
671,2017,Zup! 7,1.99,8.14,1998,Puzzle
672,2017,Zero Escape: The Nonary Games,8.99,8.14,4409,Visual Novel
673,2017,X-Plane 11,29.99,8.14,15681,Simulation
674,2017,Rain World,24.99,8.13,15322,Atmospheric
675,2017,Hellblade: Senua's Sacrifice,7.49,8.13,55406,Atmospheric
676,2017,Pictopix,6.99,8.12,1035,Puzzle
677,2017,Cogmind,19.99,8.11,1359,Traditional Roguelike
678,2017,Emily is Away Too,4.99,8.11,5375,Simulation
679,2017,Outlast 2,29.99,8.11,42711,Horror
680,2017,Tales of Berseria™,49.99,8.1,16293,Anime
681,2017,Tametsi,2.99,8.09,805,Puzzle
682,2017,Space Pirate Trainer,14.99,8.09,2756,Action
683,2017,Car Mechanic Simulator 2018,19.99,8.09,45678,Simulation
684,2017,WILL: A Wonderful World / WILL：美好世界,14.99,8.09,5171,Visual Novel
685,2017,Okami HD,9.99,8.09,7413,Adventure
686,2017,Sniper Elite 4,59.99,8.09,47247,Sniper
687,2017,Thimbleweed Park™,19.99,8.08,3568,Adventure
688,2017,I Expect You To Die,24.99,8.08,2314,Puzzle
689,2017,Nightshade／百花百狼,34.99,8.08,646,Otome
690,2017,Confess My Love,0.0,8.08,4413,RPG
691,2017,Ancient Warfare 3,12.99,8.08,2038,Sandbox
692,2017,Aircar,0.0,8.08,1995,Casual
693,2017,Zombie Estate 2,4.99,8.08,564,Action
694,2017,We Were Here,0.0,8.07,22517,Co-op
695,2017,Zup! 6,1.99,8.07,2208,Puzzle
696,2017,Pinkman,0.99,8.07,538,Casual
697,2017,Charlie Murder,9.99,8.07,1604,Action
698,2017,Short Stories Collection of Class Tangerine,7.99,8.07,860,Casual
699,2017,Forts,14.99,8.07,15103,Base Building
700,2017,Prey,29.99,8.07,42741,Sci-fi
701,2017,Symphonic Rain,15.99,8.06,647,Visual Novel
702,2017,Ken Follett's The Pillars of the Earth,19.99,8.06,5803,Choices Matter
703,2017,Dominions 5 - Warriors of the Faith,39.99,8.05,1957,Strategy
704,2017,The End Is Nigh,14.99,8.05,2688,Precision Platformer
705,2017,Deep Space Waifu: FLAT JUSTICE,2.99,8.05,2209,Dating Sim
706,2017,Banyu Lintar Angin - Little Storm -,0.0,8.04,722,Casual
707,2017,Zup! 5,1.99,8.04,2602,Puzzle
708,2017,A Sky Full of Stars 仰望夜空的星辰,17.99,8.04,749,Choose Your Own Adventure
709,2017,Subsurface Circular,5.99,8.04,1732,Adventure
710,2017,Consummate:Missing World 寇莎梅特：困世迷情,0.99,8.03,1013,RPG
711,2017,Open Sorcery,3.99,8.03,321,Adventure
712,2017,Bai Qu: Hundreds of Melodies,4.99,8.03,663,Casual
713,2017,Zup! Zero,1.99,8.03,2514,Puzzle
714,2017,HIVESWAP: ACT 1,7.99,8.03,3816,Adventure
715,2017,NEKO-NIN exHeart,9.99,8.03,969,Anime
716,2017,"Peace, Death!",1.49,8.02,1961,Funny
717,2017,Four Last Things,7.99,8.02,925,Adventure
718,2017,The Escapists 2,19.99,8.02,26157,Strategy
719,2017,Higurashi When They Cry Hou - Ch. 5 Meakashi,7.99,8.02,509,Adventure
720,2017,家有大貓 Nekojishi,0.0,8.02,4015,Visual Novel
721,2017,MudRunner,19.99,8.02,28110,Offroad
722,2017,Under Leaves,4.99,8.01,585,Hidden Object
723,2017,Bleed 2,9.99,8.01,787,Action
724,2017,Blackberry Honey,12.99,8.01,484,Visual Novel
725,2017,The Legend of Heroes: Trails in the Sky the 3rd,22.49,8.01,1512,RPG
726,2017,D'LIRIUM,4.99,8.0,894,Violent
727,2017,The Sexy Brutale,19.99,8.0,3320,Puzzle
728,2017,TY the Tasmanian Tiger 2,14.99,8.0,636,Adventure
729,2017,Umineko When They Cry - Answer Arcs,29.99,8.0,831,Great Soundtrack
730,2017,Wonderful Everyday Down the Rabbit-Hole,17.99,8.0,1215,Visual Novel
731,2017,Paradigm,14.99,8.0,1446,Adventure
732,2017,Sky Force Reloaded,9.99,7.99,1929,Shoot 'Em Up
733,2017,20XX,14.99,7.98,4097,Platformer
734,2017,Batman: The Enemy Within - The Telltale Series,14.99,7.98,7087,Adventure
735,2017,Dream Daddy: A Dad Dating Simulator,14.99,7.97,5510,Dating Sim
736,2017,Colony Survival,19.99,7.97,6676,Colony Sim
737,2017,The Dishwasher: Vampire Smile,9.99,7.96,1091,Action
738,2017,Bridge Constructor Portal,9.99,7.96,4662,Strategy
739,2017,Fantasynth One,0.0,7.96,456,Audio Production
740,2017,D&D Lords of Waterdeep,9.99,7.95,1343,Strategy
741,2017,SeaBed,19.99,7.95,401,Visual Novel
742,2017,Soulslayer～灭魂·误佳期～,9.99,7.95,551,Adventure
743,2017,Golf It!,8.99,7.95,21627,Mini Golf
744,2017,3030 Deathwar Redux - A Space Odyssey,14.99,7.94,1080,Adventure
745,2017,Full Throttle Remastered,14.99,7.94,2397,Adventure
746,2017,Fate/EXTELLA,39.99,7.94,4021,Anime
747,2017,Killer Instinct,9.99,7.94,3844,Fighting
